file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
level3_pronunciation_data_25,0.0,1.488,mfa_labwav,-50.721066878145976,,,31.027429766536564
level2_pronunciation_data_6,0.0,0.696,mfa_labwav,-56.17554408482143,,,16.339921043963116
level2_pronunciation_data_1,0.0,0.696,mfa_labwav,-54.86773507254464,,,23.77921449632512
level3_pronunciation_data_19,0.0,1.032,mfa_labwav,-51.796784928701456,,,22.90713021946329
level2_pronunciation_data_32,0.0,0.96,mfa_labwav,-51.203084309895836,,,27.728524876634367
level2_pronunciation_data_23,0.0,1.032,mfa_labwav,-53.920301122572816,,,20.906983005508497
level4_pronunciation_data_10,0.0,1.176,mfa_labwav,-54.43668068061441,,,32.15379040731488
level4_pronunciation_data_13,0.0,1.824,mfa_labwav,-56.11970402644231,,,12.521142664134192
level4_pronunciation_data_27,0.0,2.232,mfa_labwav,-55.15692001821749,,,24.769125602050963
level1_pronunciation_data_43,0.0,0.864,mfa_labwav,-49.21429869186046,,,24.866295809837087
level2_pronunciation_data_5,0.0,0.744,mfa_labwav,-56.40532622466216,,,23.17034019355377
level1_pronunciation_data_8,0.0,0.792,mfa_labwav,-53.01409216772152,,,22.897965145545566
level1_pronunciation_data_1,0.0,0.744,mfa_labwav,-46.386550490920605,,,29.399648160160805
level2_pronunciation_data_44,0.0,0.696,mfa_labwav,-61.360323660714286,,,22.445327434159818
level2_pronunciation_data_33,0.0,1.104,mfa_labwav,-53.38356267755682,,,27.70897741806543
level2_pronunciation_data_3,0.0,0.816,mfa_labwav,-54.20529249237805,,,18.893640085472956
level4_pronunciation_data_14,0.0,1.8,mfa_labwav,-56.49846462673611,,,27.30013932845341
level1_pronunciation_data_36,0.0,0.888,mfa_labwav,-50.35930916432584,,,24.350800032457503
level2_pronunciation_data_12,0.0,0.744,mfa_labwav,-55.8631030933277,,,23.17034019355377
level3_pronunciation_data_11,0.0,1.032,mfa_labwav,-52.226169030643206,,,24.25506244184864
level1_pronunciation_data_40,0.0,0.864,mfa_labwav,-49.468744322311046,,,24.73648865076153
level1_pronunciation_data_0,0.0,0.768,mfa_labwav,-52.16170987215909,,,23.405269124114575
level1_pronunciation_data_2,0.0,0.744,mfa_labwav,-47.258142419763516,,,27.394857983187897
level3_pronunciation_data_32,0.0,1.08,mfa_labwav,-54.84404839409722,,,19.242859230108234
level2_pronunciation_data_52,0.0,0.984,mfa_labwav,-55.05336714764031,,,22.743871333291224
level2_pronunciation_data_57,0.0,1.056,mfa_labwav,-53.497157834610846,,,22.121026556637652
